2,1,161,1
3,1,161,1
15,1,161,1
30,1,161,1
34,1,161,1
83,1,161,1
85,1,161,1
87,1,161,1
88,1,161,1
93,1,161,1
96,1,161,1
97,1,161,1
109,1,161,1
114,1,161,1
116,1,161,1
138,1,161,1
142,1,161,1
143,1,161,1
150,1,161,1
151,1,161,1
161,1,161,1
171,1,161,1
206,1,161,1
208,1,161,1
212,1,161,1
220,1,161,1
225,1,161,1
227,1,161,1
232,1,161,1
234,1,161,1
281,1,161,1
284,1,161,1
290,1,161,1
299,1,161,1
325,1,161,1
327,1,161,1
329,1,161,1
335,1,161,1
343,1,161,1
350,1,161,1
366,1,161,1
374,1,161,1
4,2,161,2
5,2,161,2
6,2,161,2
31,2,161,2
33,2,161,2
53,2,161,2
54,2,161,2
55,2,161,2
61,2,161,2
69,2,161,2
70,2,161,2
72,2,161,2
84,2,161,2
90,2,161,2
95,2,161,2
107,2,161,2
146,2,161,2
155,2,161,2
156,2,161,2
170,2,161,2
176,2,161,2
187,2,161,2
202,2,161,2
204,2,161,2
210,2,161,2
211,2,161,2
262,2,161,2
282,2,161,2
289,2,161,2
303,2,161,2
334,2,161,2
345,2,161,2
392,2,161,2
7,3,161,2
9,3,161,2
14,3,161,2
20,3,161,2
46,3,161,2
67,3,161,2
73,3,161,2
81,3,161,2
89,3,161,2
91,3,161,2
94,3,161,2
98,3,161,2
100,3,161,2
105,3,161,2
106,3,161,2
108,3,161,2
112,3,161,2
113,3,161,2
117,3,161,2
119,3,161,2
122,3,161,2
124,3,161,2
126,3,161,2
129,3,161,2
139,3,161,2
149,3,161,2
153,3,161,2
157,3,161,2
162,3,161,2
165,3,161,2
177,3,161,2
180,3,161,2
181,3,161,2
190,3,161,2
192,3,161,2
193,3,161,2
196,3,161,2
199,3,161,2
209,3,161,2
215,3,161,2
216,3,161,2
217,3,161,2
233,3,161,2
238,3,161,2
252,3,161,2
253,3,161,2
257,3,161,2
261,3,161,2
272,3,161,2
275,3,161,2
277,3,161,2
302,3,161,2
315,3,161,2
319,3,161,2
324,3,161,2
339,3,161,2
346,3,161,2
349,3,161,2
361,3,161,2
367,3,161,2
371,3,161,2
382,3,161,2
395,3,161,2
397,3,161,2
8,4,161,3
243,4,161,3
92,5,161,3
51,6,161,3
186,6,161,3
219,6,161,3
10,7,161,3
11,8,161,4
17,8,161,4
22,8,161,4
23,8,161,4
28,8,161,4
35,8,161,4
40,8,161,4
43,8,161,4
49,8,161,4
64,8,161,4
68,8,161,4
74,8,161,4
82,8,161,4
99,8,161,4
101,8,161,4
102,8,161,4
123,8,161,4
179,8,161,4
185,8,161,4
189,8,161,4
201,8,161,4
213,8,161,4
229,8,161,4
235,8,161,4
241,8,161,4
242,8,161,4
245,8,161,4
259,8,161,4
268,8,161,4
278,8,161,4
301,8,161,4
304,8,161,4
328,8,161,4
342,8,161,4
358,8,161,4
359,8,161,4
387,8,161,4
394,8,161,4
399,8,161,4
12,9,161,3
103,10,161,4
16,11,161,5
18,11,161,5
86,11,161,5
104,11,161,5
115,11,161,5
127,11,161,5
137,11,161,5
13,12,161,4
207,12,161,4
39,13,161,5
111,13,161,5
21,14,161,3
24,14,161,3
25,14,161,3
77,14,161,3
78,14,161,3
110,14,161,3
128,14,161,3
159,14,161,3
160,14,161,3
194,14,161,3
214,14,161,3
251,14,161,3
295,14,161,3
118,15,161,2
121,15,161,2
184,15,161,2
120,16,161,6
169,16,161,6
249,16,161,6
300,16,161,6
333,16,161,6
125,17,161,5
255,17,161,5
19,18,161,6
26,18,161,6
32,18,161,6
36,18,161,6
42,18,161,6
45,18,161,6
48,18,161,6
52,18,161,6
58,18,161,6
76,18,161,6
79,18,161,6
130,18,161,6
131,18,161,6
132,18,161,6
134,18,161,6
135,18,161,6
136,18,161,6
140,18,161,6
141,18,161,6
144,18,161,6
145,18,161,6
147,18,161,6
148,18,161,6
152,18,161,6
164,18,161,6
167,18,161,6
168,18,161,6
178,18,161,6
195,18,161,6
197,18,161,6
198,18,161,6
203,18,161,6
226,18,161,6
228,18,161,6
231,18,161,6
237,18,161,6
239,18,161,6
240,18,161,6
244,18,161,6
246,18,161,6
247,18,161,6
254,18,161,6
266,18,161,6
271,18,161,6
273,18,161,6
279,18,161,6
291,18,161,6
